"","contest_run_by_district_name_and_number","n","district_num","district_letter"
"1","Legislative District 1A",6,1,"L"
"2","Legislative District 1B",2,1,"L"
"3","Legislative District 1C",2,1,"L"
"4","Legislative District 2A",5,2,"L"
"5","Legislative District 2B",3,2,"L"
"6","Legislative District 3",5,3,"L"
"7","Legislative District 4",7,4,"L"
"8","Legislative District 5",7,5,"L"
"9","Legislative District 6",8,6,"L"
"10","Legislative District 7A",6,7,"L"
"11","Legislative District 7B",2,7,"L"
"12","Legislative District 8",10,8,"L"
"13","Legislative District 9A",4,9,"L"
"14","Legislative District 9B",2,9,"L"
"15","Legislative District 10",6,10,"L"
"16","Legislative District 11A",2,11,"L"
"17","Legislative District 11B",3,11,"L"
"18","Legislative District 12A",4,12,"L"
"19","Legislative District 12B",3,12,"L"
"20","Legislative District 13",4,13,"L"
"21","Legislative District 14",4,14,"L"
"22","Legislative District 15",5,15,"L"
"23","Legislative District 16",5,16,"L"
"24","Legislative District 17",4,17,"L"
"25","Legislative District 18",4,18,"L"
"26","Legislative District 19",7,19,"L"
"27","Legislative District 20",3,20,"L"
"28","Legislative District 21",3,21,"L"
"29","Legislative District 22",4,22,"L"
"30","Legislative District 23",10,23,"L"
"31","Legislative District 24",7,24,"L"
"32","Legislative District 25",7,25,"L"
"33","Legislative District 26",7,26,"L"
"34","Legislative District 27A",5,27,"L"
"35","Legislative District 27B",3,27,"L"
"36","Legislative District 27C",3,27,"L"
"37","Legislative District 28",8,28,"L"
"38","Legislative District 29A",2,29,"L"
"39","Legislative District 29B",3,29,"L"
"40","Legislative District 29C",6,29,"L"
"41","Legislative District 30A",3,30,"L"
"42","Legislative District 30B",3,30,"L"
"43","Legislative District 31",6,31,"L"
"44","Legislative District 32",7,32,"L"
"45","Legislative District 33A",2,33,"L"
"46","Legislative District 33B",2,33,"L"
"47","Legislative District 33C",2,33,"L"
"48","Legislative District 34A",3,34,"L"
"49","Legislative District 34B",3,34,"L"
"50","Legislative District 35A",5,35,"L"
"51","Legislative District 35B",4,35,"L"
"52","Legislative District 36",6,36,"L"
"53","Legislative District 37A",1,37,"L"
"54","Legislative District 37B",4,37,"L"
"55","Legislative District 38A",3,38,"L"
"56","Legislative District 38B",2,38,"L"
"57","Legislative District 38C",2,38,"L"
"58","Legislative District 39",5,39,"L"
"59","Legislative District 40",8,40,"L"
"60","Legislative District 41",8,41,"L"
"61","Legislative District 42A",4,42,"L"
"62","Legislative District 42B",3,42,"L"
"63","Legislative District 42C",2,42,"L"
"64","Legislative District 43A",2,43,"L"
"65","Legislative District 43B",1,43,"L"
"66","Legislative District 44A",2,44,"L"
"67","Legislative District 44B",5,44,"L"
"68","Legislative District 45",6,45,"L"
"69","Legislative District 46",4,46,"L"
"70","Legislative District 47A",4,47,"L"
"71","Legislative District 47B",1,47,"L"
